ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
T-II Santa Maria Nativitas,SANTA MARIA NATIVITAS 2514,XOCHIMILCO,19.2466,-99.0943,3,Centros_de_Salud
T-III San Gregorio Atlapulco,SAN GREGORIO ATLAPULCO 2426,XOCHIMILCO,19.257,-99.0648,3,Centros_de_Salud
T-I Santa Cruz Xochitepec,SANTA CRUZ XOCHITEPEC,XOCHIMILCO,19.2541,-99.13,1,Centros_de_Salud
T-I Ejidos de Santa ursula,CARMEN SERDAN 2132,COYOACÁN,19.3047,-99.1436,1,Centros_de_Salud
T-II Gertrudis Sanchez,GERTRUDIS SANCHEZ 2DA SECCION 2209,GUSTAVO A. MADERO,19.4686,-99.0999,3,Centros_de_Salud
T-I Margarita Maza de Juarez,GUADALUPE DEL MORAL,IZTAPALAPA,19.3687,-99.0733,1,Centros_de_Salud
T-I Tlalpexco,TLALPEXCO,GUSTAVO A. MADERO,19.5466,-99.1249,1,Centros_de_Salud
T-III UNEME CAPA Lomas de la Era,LOMAS DE LOS CEDROS,ÁLVARO OBREGÓN,19.3262,-99.259,3,Centros_de_Salud
T-III Tulyehualco,SAN SEBASTIAN,TLÁHUAC,19.2561,-99.011,3,Centros_de_Salud
T-II San Pablo Ozotepec,SAN MIGUEL,MILPA ALTA,19.1874,-99.0726,3,Centros_de_Salud
T-II Buenavista,BUENAVISTA,IZTAPALAPA,19.332,-99.0315,3,Centros_de_Salud
Clinica de Especialidades 3,MORELOS,CUAUHTÉMOC,19.4475,-99.129,3,Centros_de_Salud
T-II Cultura Maya,CULTURA MAYA,TLALPAN,19.276,-99.222,3,Centros_de_Salud
T-I San Mateo,SAN MATEO TLALTENANGO 2453,CUAJIMALPA DE MORELOS,19.3462,-99.2719,1,Centros_de_Salud
T-I Garcimarrero,GARCIMARRERO NORTE,ÁLVARO OBREGÓN,19.3678,-99.2364,1,Centros_de_Salud
T-I San Andres Xicotencatl,SANTA MARTHA ACATITLA NORTE,IZTAPALAPA,19.3789,-99.0146,1,Centros_de_Salud
T-I Bosques del Pedregal,BOSQUES DEL PEDREGAL,TLALPAN,19.2739,-99.237,1,Centros_de_Salud
T-III Dr. Francisco J. Balmis,ZACAHUITZCO,IZTAPALAPA,19.3764,-99.1345,3,Centros_de_Salud
T-III Villa Milpa Alta,SANTA CRUZ,MILPA ALTA,19.1972,-99.0169,3,Centros_de_Salud
T-III Lago Cardiel,ARGENTINA ANTIGUA,MIGUEL HIDALGO,19.4558,-99.2027,3,Centros_de_Salud
T-I Pedregal San Nicolas del Norte,PEDREGAL DE SAN NICOLAS 2DA SECCION,TLALPAN,19.2893,-99.2382,1,Centros_de_Salud
T-III Romero Rubio,AQUILES SERDAN,VENUSTIANO CARRANZA,19.4442,-99.0904,3,Centros_de_Salud
T-I Santa Catarina,SANTA CATARINA,AZCAPOTZALCO,19.4908,-99.1771,1,Centros_de_Salud
